0710001P07RIK	Caly,Caly
SPAF	Spata5,Spata5
P2X3	P2rx3,P2rx3
SOCI	Ubxn11,Ubxn11
AW061099	Kazn,Kazn
SOCS	Cish,Cish
AL022764	Gcn1l1,Gcn1l1
GSDMC	Gsdmc
SPAR	Sipa1l1,Sipa1l1
MKIAA0735	Sv2b,Sv2b
MKIAA0736	Sv2a,Sv2a
MKIAA0730	Sacs,Sacs
MKIAA0731	Larp1,Larp1
RGC32	Rgcc
MKIAA0733	Tab2,Tab2
R74815	Tnfrsf21,Tnfrsf21
VMP1	Vmp1
2410002F23RIK	2410002F23Rik
GA_X5J8B7W6B6J141796141659	Olfr670,Olfr670
4631408O11RIK	Itih5,Itih5
MKIAA1469	Flrt3,Flrt3
MKIAA1468	2310035C23Rik,2310035C23Rik
MKIAA1467	8430419L09Rik
PP60CSRC	Src,Src
AI043035	Adhfe1,Adhfe1
MKIAA1463	Dip2b,Dip2b
R74819	Tmem199,Tmem199
TEG27	Zfand3,Zfand3
TEG23	Foxred1,Foxred1
BC026502	Spire2,Spire2
D18ERTD139E	Npc1,Npc1
SULT2A6	Sult2a6
MIRF6	Irf6,Irf6
MIRF5	Irf5,Irf5
CARVB	Car5b,Car5b
4930470O13RIK	Mtx3,Mtx3
M239ASP	Pcnt,Pcnt
MIRN96	Mir96,Mir96,Mir96
1810004D07RIK	Anapc13,Anapc13
D2ERTD694E	Epc2,Epc2
9330185D23	Gpr116
D14ERTD226E	Tspan14,Tspan14,Tspan14
AA408011	Dnajb9,Dnajb9
IFNGR	Ifngr1,Ifngr1
MMCGM1A	Ceacam1,Ceacam1
NT1R	Ntsr1,Ntsr1
MIRN93	Mir93
F730040C21	Sbno2,Sbno2
UFSP2	Ufsp2
GM10212	Gm10212
OGFR	Ogfr
AI323713	Dad1,Dad1
PR22	Stmn1,Stmn1
9430041J06RIK	Kansl1,Kansl1
C630028N24RIK	Hykk,Hykk
GM16909	Trbv26,Trbv26
GM16908	Mir143hg,Mir143hg
ORC3L	Orc3,Orc3
G9D3	Timd2,Timd2
AI317346	Vps41,Vps41
4021402C18RIK	Rap2b,Rap2b
2810422J05RIK	Kxd1,Kxd1
BAZ2B	Baz2b
GM16905	Igkv12-89,Igkv12-89
4832416I10RIK	Slc18a1,Vat1,Slc18a1
GM16907	Gm16907
GR3	Prlhr,Prlhr
2900005C20RIK	Epha4,Epha4
OTTMUSG00000023160	Gm15522,Gm15522
AI324841	Rgs19,Rgs19
OTTMUSG00000023166	Gm15523,Gm15523
C230078M14RIK	Cntnap5b,Cntnap5b
OLFR1154	Olfr1154
4631401E18RIK	Galnt15,Galnt15
AS160	Tbc1d4,Tbc1d4
AW209077	Appl1,Appl1
MTAP1S	Map1s,Map1s
AI324848	Shmt1,Shmt1
OLFR1152	Olfr1152
OLFR1153	Olfr1153
8D6	Cd320,Cd320
ENSMUSG00000040775	Gm9772,Gm9772
C030018L03	Grm7,Grm7
CDC42GAP	Arhgap1,Arhgap1
PTCH2	Ptch2
DRASIC	Asic3,Asic3
PTCH1	Ptch1
TIMM44	Timm44
SEC13L1	Sec13,Sec13
OLFR173	Olfr173
2300006C11RIK	Bap1,Bap1
HBOA	Kat7,Kat7
ENSMUSG00000047061	Gm9817,Gm9817
RAD9B	Rad9b
RAD9A	Rad9a
ERGIC2	Ergic2
ERGIC3	Ergic3
GM10505	Gm10505
ERGIC1	Ergic1
OLFR765	Olfr765
GM14461	Gm14461
OLFR767	Olfr767
OLFR761	Olfr761
OLFR763	Olfr763
0610039A20RIK	Styx,Styx
B3GAT3	B3gat3
B3GAT2	B3gat2
B3GAT1	B3gat1
MMUMIR6340	mmu-mir-6340
PTE2B	Acot4,Acot4
2610209N15RIK	Dhrs13,Dhrs13
PTE2A	Acot3,Acot3
1700119I11RIK	1700119I11Rik
AI528698	Ndn,Ndn
CALM5	CALM5
CALM2	Calm2
CALM3	Calm3
SPG21	Spg21
CALM1	Calm1
PI4K2A	Pi4k2a
GSDMA	Gsdma
AI528691	Bcl3,Bcl3,Bcl3
GSDMD	Gsdmd
AI132306	Osbpl11,Osbpl11
UPK1B	Upk1b
MC5R	Mc5r
5430429N04RIK	Slc46a2,Slc46a2
DLGAP3	Dlgap3
1110021O17RIK	Steap4,Steap4
DLGAP1	Dlgap1
DLGAP4	Dlgap4
IMBRI2	Itm2b,Itm2b
4933431M11RIK	Apobec4,Apobec4
1110069M14RIK	Ptcd1,Ptcd1
B2B183CLO	Acan,Acan
OIP5	Oip5
MOR1594	Olfr358,Olfr358
ZEC	Zfp628,Zfp628
EG625573	Vma21-ps,Vma21,Vma21-ps
MIR501	Mir501
9430066I12RIK	Frmd3,Frmd3
FAM169A	Fam169a
IRF2BP1	Irf2bp1
ATXN3	Atxn3
GM16201	Gm16201
FBXL18	Fbxl18
SFRS12IP1	Srek1ip1,Srek1ip1
GSDM1	Gsdma,Gsdma
GSDM2	Gsdma2,Gsdma2
GSDM3	Gsdma3,Gsdma3
KANSL3	Kansl3
TRAJ34	Traj34
MOR20238	Olfr1471,Olfr1471
PTPN18	Ptpn18
BC021875	Sbno1,Sbno1
LRRFIP2	Lrrfip2
0910001O23RIK	Eif2s1,Eif2a,Eif2s1
HIPPI	Ift57,Ift57
PTPN13	Ptpn13
PTPN12	Ptpn12
PTPN11	Ptpn11
NALPGAMMA	Nlrp4b,Nlrp4b
GM27290	mmu-mir-7066
PTPN16	Dusp1,Dusp1
PTPN15	Ptpro,Ptpro
PTPN14	Ptpn14
VR22	Ctnna3,Ctnna3
C530033I08RIK	Rttn,Rttn
ABH6	Alkbh6,Alkbh6
LYAR	Lyar
AI447312	Lhfpl2,Lhfpl2
C130073D16RIK	Zfp384,Zfp384
GM7729	Gm7729
A830007M12	Lrrc4b,Lrrc4b
GALTII	B3galt6,B3galt6
4921532K09RIK	Nudcd1,Nudcd1
COXIV	Cox4i1,Cox4i1
RNF77	Trim13,Trim13
GM6095	Catsperd,Catsperd
1700128E19RIK	1700128E19Rik
GM16858	Ighv1-15,Ighv1-15
GPR18	Gpr18
PC11	Ssty2,Ssty2
GM17115	Gm17115
DDC8	BC100451,BC100451
OTTMUSG00000015166	Trav4-2,Trav4-2
TSTAP91A	Psmd3,Psd3,Psmd3
DMRTB1	Dmrtb1
OTTMUSG00000015165	Trav7-2,Trav7-2
OTTMUSG00000015162	Trav8-1,Trav8-1
APNG	Mpg,Mid1,Mpg
OTTMUSG00000015160	Trav6-3,Trav6-3
OTTMUSG00000015161	Trav7-4,Trav7-4
OSA1	Arid1a,Arid1a
MIRAB13	Micall1,Micall1
B430204O07	G3bp1,G3bp1
MKIAA1211	C530008M17Rik,C530008M17Rik
6330442E10RIK	Tmem229b,Tmem229b
GRP	Grp
TRAPPC6A	Trappc6a
GM15337	Gm15337
MZB1	Mzb1
2310056L12RIK	Pkp3,Pkp3
1110065L07RIK	Abhd13,Abhd13
C130097A14RIK	Glb1,Glb1
CH36125B105	Gm16049,Gm16049
MOR2629	Olfr270,Olfr270
MOR2628	Olfr273,Olfr273
MSMB	Msmb
UGGT2	Uggt2
MGIF	Klf10,Klf10
MOR2621	Olfr267,Olfr267
TTC9B	Ttc9b
MOR2627	Olfr272,Olfr272
MOR2626	Olfr156,Olfr156
MOR2625	Olfr159,Olfr159
MOR2624	Olfr71,Olfr71
MBII420	Snord99,Snord99
GM1379	Lphn3
2410005G18RIK	Cks1b,Cks1b
NDP52	Calcoco2,Calcoco2
CGI67	Abhd17b,Abhd17b
SERCA2B	Atp2a2,Atp2a2
SERCA2A	Atp2a2,Atp2a2
EIF4E1B	Eif4e1b
GM1377	Dpp6,Dpp6,Dpp6
FOXS1	Foxs1
LOBEL	Akt1s1,Akt1s1
OR28	Olfr1507,Olfr1507
2310038E17RIK	Ces2f,Ces2f
E130115E03RIK	Lypd6,Lypd6
4931429P17RIK	4931429P17Rik
1700030J15RIK	Zdhhc25,Zdhhc25
FAM212A	Fam212a
4833412C05RIK	4833412C05Rik
PKD1L1	Pkd1l1
CHST9	Chst9
AA408337	B3gnt2,B3galt6,B3gnt1,B3gnt2
ZFP160	Zfp160
C77407	Timeless,Timeless
4930486I03RIK	4930486I03Rik
SPEER4F2	Gm3495
CAMKK2	Camkk2
CAMKK1	Camkk1
AA388321	Wbscr17,Wbscr17
MYDGF	Il25,D17Wsu104e
HAPLN3	Hapln3
C920003I06	Dync1li2,Dync1li2
HAPLN2	Hapln2
MCHR1	Mchr1
GM27279	mmu-mir-3569
EG667384	Gm16050,Gm8603,Gm16050
EG627479	Vmn2r8,Vmn2r8
5330429M20	Tbl1x,Tbl1x
MIR1952	Mir1952
AW539567	Fyttd1,Fyttd1
CNBD2	Cnbd2
1200003E11RIK	Cpne8,Cpne8
CPEBP3	Cpeb3,Cpeb3
G630052C06RIK	Ptchd2,Ptchd2
HNN	Arl13b,Arl13b
A930007H10RIK	Uggt1,Uggt1
ZFP169	Zfp169
2210413I17RIK	Med13l,Med13l
GM11201	Gm11201
CHMP3	Chmp3
RPL36AL	Rpl36al
BNIPL2	Bnipl,Bnipl
CHMP7	Chmp7
AW411893	Rem2,Rem2
CHMP5	Chmp5
CICR	Cir1,Cir1
EG635895	Gm7168,Gm7168
0610009E20RIK	Emc6,Emc6
OTTMUSG00000012675	Gm13546,Gm13546
D16ERTD480E	Spice1,Spice1
OTTMUSG00000012672	Gm13544,Gm13544
EG627470	Gm6760,Gm6760
LY6G6C	Ly6g6c
HOXA13	Hoxa13
LY6G6E	Ly6g6e
HOXA11	Hoxa11
HOXA10	Hoxa10
AI467391	Cbll1,Cbll1
3632432H19	Fam178a,Fam178a
NABC1	Slc4a11,Bcas1
GM13278	Gm13278
GM13279	Gm13279
MOR10610	Olfr741,Olfr741
GM13275	Gm13275
B130010C12RIK	Tubgcp5,Tubgcp5
GM13277	Gm13277
GM13270	Gm13270
HBO1	Kat7,Kat7
GM13272	Gm13272
